technique,trial,query_idx,score,n_supported,n_inferred,n_unsupported,n_causal
graph_rag,1,1,0.9545454545454546,10,1,0,11
graph_rag,1,2,1.0,7,0,0,7
graph_rag,1,3,0.875,3,1,0,4
graph_rag,1,4,0.75,3,3,0,6
graph_rag,1,5,1.0,6,0,0,6
graph_rag,2,1,0.9090909090909091,10,0,1,11
graph_rag,2,2,1.0,7,0,0,7
graph_rag,2,3,0.875,3,1,0,4
graph_rag,2,4,0.75,3,3,0,6
graph_rag,2,5,1.0,6,0,0,6
graph_rag,3,1,0.9545454545454546,10,1,0,11
graph_rag,3,2,1.0,7,0,0,7
graph_rag,3,3,0.875,3,1,0,4
graph_rag,3,4,0.75,3,3,0,6
graph_rag,3,5,1.0,6,0,0,6
graph_rag,4,1,0.9545454545454546,10,1,0,11
graph_rag,4,2,1.0,7,0,0,7
graph_rag,4,3,0.875,3,1,0,4
graph_rag,4,4,0.8,3,2,0,5
graph_rag,4,5,1.0,6,0,0,6
graph_rag,5,1,0.95,9,1,0,10
graph_rag,5,2,1.0,8,0,0,8
graph_rag,5,3,0.875,3,1,0,4
graph_rag,5,4,0.8,3,2,0,5
graph_rag,5,5,1.0,6,0,0,6
graph_rag_cov,1,1,0.9444444444444444,8,1,0,9
graph_rag_cov,1,2,1.0,7,0,0,7
graph_rag_cov,1,3,1.0,4,0,0,4
graph_rag_cov,1,4,0.8,3,2,0,5
graph_rag_cov,1,5,1.0,6,0,0,6
graph_rag_cov,2,1,0.9545454545454546,10,1,0,11
graph_rag_cov,2,2,1.0,7,0,0,7
graph_rag_cov,2,3,1.0,4,0,0,4
graph_rag_cov,2,4,0.7,2,3,0,5
graph_rag_cov,2,5,1.0,6,0,0,6
graph_rag_cov,3,1,0.9545454545454546,10,1,0,11
graph_rag_cov,3,2,1.0,7,0,0,7
graph_rag_cov,3,3,1.0,4,0,0,4
graph_rag_cov,3,4,0.8,3,2,0,5
graph_rag_cov,3,5,1.0,6,0,0,6
graph_rag_cov,4,1,0.9545454545454546,10,1,0,11
graph_rag_cov,4,2,1.0,7,0,0,7
graph_rag_cov,4,3,1.0,4,0,0,4
graph_rag_cov,4,4,0.8,3,2,0,5
graph_rag_cov,4,5,1.0,6,0,0,6
graph_rag_cov,5,1,0.9444444444444444,8,1,0,9
graph_rag_cov,5,2,1.0,7,0,0,7
graph_rag_cov,5,3,1.0,4,0,0,4
graph_rag_cov,5,4,0.7,2,3,0,5
graph_rag_cov,5,5,1.0,6,0,0,6
