entity,doc_freq,types,primary_type,idf,tfidf_proxy
2030,461,['Timeframe'],Timeframe,1.2708810750406196,585.8761755937256
2024,444,['Timeframe'],Timeframe,1.3084545556050433,580.9538226886392
2025,439,['Timeframe'],Timeframe,1.3197797049620967,579.3832904783604
China,400,['Region'],Region,1.412814570929286,565.1258283717144
United States,340,['Region'],Region,1.575333500427061,535.6133901452007
India,289,['Region'],Region,1.737852429924836,502.23935224827756
Europe,226,['Region'],Region,1.9837441187649822,448.326170840886
Solar Pv,186,"['Energysource', 'Technology', 'Sector']",Energysource,2.178532444324067,405.20703464427646
European Union,171,['Region'],Region,2.262615561534608,386.90726102241797
Germany,164,['Region'],Region,2.3044126902130695,377.9236811949434
Indonesia,148,['Region'],Region,2.407066844273153,356.24589295242663
Coal,145,['Energysource'],Energysource,2.4275453756166936,351.99407946442057
2026,144,['Timeframe'],Timeframe,2.4344658184612675,350.5630778584225
Japan,138,['Region'],Region,2.4770254328800636,341.8295097374488
Australia,136,['Region'],Region,2.491624232301216,338.86089559296533
Brazil,130,['Region'],Region,2.5367446675816856,329.7768067856191
France,119,['Region'],Region,2.6251556249257386,312.3935193661629
2023,118,['Timeframe'],Timeframe,2.633594493571603,310.76415024144916
Middle East,116,['Region'],Region,2.6506889269309033,307.4799155239848
Wind,113,"['Energysource', 'Technology', 'Sector']",Energysource,2.6768912993249274,302.4887168237168
Renewables,111,"['Energysource', 'Sector', 'Infrastructure']",Energysource,2.694748916724934,299.11712975646765
Africa,102,['Region'],Region,2.779306304752997,283.4892430848057
2027,98,['Timeframe'],Timeframe,2.8193116393666964,276.29254065793623
Spain,97,['Region'],Region,2.8295681395338854,274.4681095347869
United Kingdom,92,['Region'],Region,2.8824905409882278,265.18912977091696
Korea,90,['Region'],Region,2.904469447707003,261.4022502936303
Russia,90,['Region'],Region,2.904469447707003,261.4022502936303
Canada,89,['Region'],Region,2.915642748305128,259.4922045991564
2022,84,['Timeframe'],Timeframe,2.9734623191939544,249.77083481229218
North America,84,['Region'],Region,2.9734623191939544,249.77083481229218
2028,83,['Timeframe'],Timeframe,2.98543851024067,247.7913963499756
Natural Gas,81,['Energysource'],Energysource,3.009829963364829,243.79622703255114
Electricity Demand,80,['Metric'],Metric,3.0222524833633866,241.78019866907093
Hydropower,77,"['Energysource', 'Technology']",Energysource,3.060473696183584,235.656474606136
Poland,76,['Region'],Region,3.073545777750937,233.58947910907122
Italy,75,['Region'],Region,3.0867910045009577,231.50932533757182
Eurasia,73,['Region'],Region,3.113819676888877,227.308836412888
2026-2030,68,['Timeframe'],Timeframe,3.1847714128611613,216.56445607455896
Saudi Arabia,67,['Region'],Region,3.199586498646302,214.37229540930224
Netherlands,66,['Region'],Region,3.2146243760108426,212.16520881671562
Asia Pacific,65,['Region'],Region,3.229891848141631,209.942970129206
Denmark,63,['Region'],Region,3.261144391645735,205.45209667368133
Mexico,61,['Region'],Region,3.293405253863957,200.89772048570137
South Africa,61,['Region'],Region,3.293405253863957,200.89772048570137
Asia,59,['Region'],Region,3.3267416741315485,196.27775877376138
2029,56,['Timeframe'],Timeframe,3.378927427302119,189.21993592891866
Gas,53,['Energysource'],Energysource,3.4339872044851463,182.00132183771277
Ireland,53,['Region'],Region,3.4339872044851463,182.00132183771277
Gasoline,52,"['Energysource', 'Sector']",Energysource,3.4530353994558407,179.55784077170372
2021,50,['Timeframe'],Timeframe,3.492256112609122,174.61280563045608
