technique,trial,judge,wall_seconds,answer_relevancy,faithfulness,context_precision
base_llm,1,gpt-4.1,5.0,0.7349828261213763,,
base_llm,2,gpt-4.1,1.1,0.7384744096005187,,
base_llm,3,gpt-4.1,32.5,0.7349828261213763,,
base_llm,4,gpt-4.1,48.5,0.7384037059200719,,
base_llm,5,gpt-4.1,1.3,0.7384744096005187,,
prompt_engineered,1,gpt-4.1,62.9,0.8828580823898415,,
prompt_engineered,2,gpt-4.1,5.8,0.8862460141505302,,
prompt_engineered,3,gpt-4.1,18.5,0.8812396388971516,,
prompt_engineered,4,gpt-4.1,20.9,0.8841493785611941,,
prompt_engineered,5,gpt-4.1,31.8,0.8843980900782084,,
base_rag,1,gpt-4.1,151.8,0.5368394564984164,0.9446153846153846,0.9999999999633332
base_rag,2,gpt-4.1,65.7,0.5368774696652723,0.9346153846153846,0.9833333332955554
base_rag,3,gpt-4.1,118.5,0.5368561982509117,0.9846153846153848,0.9833333332955554
base_rag,4,gpt-4.1,132.2,0.5368561982509117,0.8984615384615384,0.9833333332955554
base_rag,5,gpt-4.1,139.8,0.5368394564984164,0.9446153846153846,0.9833333332955554
tuned_rag,1,gpt-4.1,129.9,0.7325158963591354,0.8750375939849624,0.9633333333098054
tuned_rag,2,gpt-4.1,141.2,0.7323959452164989,0.9181829573934835,0.9344444444192964
tuned_rag,3,gpt-4.1,180.0,0.7318471259323851,0.8521825396825397,0.9633333333098054
tuned_rag,4,gpt-4.1,157.1,0.731521691343889,0.8345238095238094,0.9633333333088056
tuned_rag,5,gpt-4.1,162.7,0.7313162078980296,0.907251584844464,0.9244444444212128
graph_rag,1,gpt-4.1,180.0,0.7057982970634422,0.9328506787330316,0.9155714285536172
graph_rag,2,gpt-4.1,180.0,0.8876878275820707,0.9333333333333332,0.8930714285542367
graph_rag,3,gpt-4.1,180.0,0.8888090333612244,0.9333333333333332,0.8930714285542367
graph_rag,4,gpt-4.1,180.0,0.8879810699108031,0.9328506787330316,0.8848571428399457
graph_rag,5,gpt-4.1,180.0,0.8887912792605576,0.9137254901960784,0.9155714285546172
opus_tuned_rag,1,gpt-4.1,180.0,0.6571235347828289,,0.856166666642106
opus_tuned_rag,2,gpt-4.1,180.0,0.6589395654666432,0.9073573261216282,0.8516666666413417
opus_tuned_rag,3,gpt-4.1,180.0,0.6745971741272943,0.8716520798042537,0.8627777777543046
opus_tuned_rag,4,gpt-4.1,180.0,0.6349326653398474,0.8477633477633478,0.8874999999761458
opus_tuned_rag,5,gpt-4.1,180.0,0.6621860902666656,0.8867953480539292,0.8424305555320026
graph_rag_cov,1,gpt-4.1,451.1,0.5181368439037191,0.8974358974358975,0.7737976544865006
graph_rag_cov,2,gpt-4.1,546.5,0.5215619813860448,0.8912820512820513,0.7952856743798613
graph_rag_cov,3,gpt-4.1,486.9,0.5221547070710468,0.8807692307692307,0.7728766113480489
graph_rag_cov,4,gpt-4.1,529.1,0.5198494126448819,0.8912820512820513,0.7756233984061633
graph_rag_cov,5,gpt-4.1,501.6,0.5215619813860448,0.8974358974358975,0.749980857932993
tuned_rag_docling,1,gpt-4.1,131.6,0.9430609482640984,0.8430555555555556,0.8677777777536295
tuned_rag_docling,2,gpt-4.1,176.9,0.9437716433739092,0.8555555555555555,0.8677777777536295
tuned_rag_docling,3,gpt-4.1,186.7,0.94694664975557,0.8476780185758515,0.8608333333107012
tuned_rag_docling_charts,1,gpt-4.1,183.9,0.9370229524229508,0.8555555555555555,0.9249999999752084
tuned_rag_docling_charts,2,gpt-4.1,179.4,0.9345976175089764,0.7777732793522267,0.9003333333100351
tuned_rag_docling_charts,3,gpt-4.1,189.9,0.939396856375619,0.7734412955465587,0.8883333333094583
graph_rag_docling,1,gpt-4.1,172.0,0.5241388819036717,0.858611111111111,0.9599999999711333
graph_rag_docling,2,gpt-4.1,212.6,0.5212985937656485,0.8697222222222223,0.9999999999733333
graph_rag_docling,3,gpt-4.1,219.9,0.526979170041695,0.858611111111111,0.9666666666383332
